Date,Open,High,Low,Close,Change (Pips),Change (%)
"Nov 30, 2020 0:00",1.33287,1.33637,1.32932,1.33468,18.1,0.0014
"Nov 27, 2020 0:00",1.33531,1.33818,1.32834,1.33022,-50.9,-0.38%
"Nov 26, 2020 0:00",1.33714,1.33972,1.33214,1.33552,-16.2,-0.12%
"Nov 25, 2020 0:00",1.3355,1.33934,1.33036,1.33865,31.5,0.0024
"Nov 24, 2020 0:00",1.33077,1.33803,1.32926,1.33619,54.2,0.0041
"Nov 23, 2020 0:00",1.3289,1.33983,1.32638,1.33233,34.3,0.0026
"Nov 20, 2020 0:00",1.32571,1.32981,1.32447,1.32898,32.7,0.0025
"Nov 19, 2020 0:00",1.32664,1.32792,1.31956,1.32625,-3.9,-0.03%
"Nov 18, 2020 0:00",1.32402,1.33122,1.32402,1.32673,27.1,0.002
"Nov 17, 2020 0:00",1.31937,1.32723,1.31878,1.32487,55,0.0042
"Nov 16, 2020 0:00",1.31591,1.32421,1.31591,1.32005,41.4,0.0031
"Nov 13, 2020 0:00",1.31137,1.31999,1.31087,1.31974,83.7,0.0063
"Nov 12, 2020 0:00",1.32219,1.32282,1.31061,1.31222,-99.7,-0.76%
"Nov 11, 2020 0:00",1.32692,1.33139,1.31913,1.32241,-45.1,-0.34%
"Nov 10, 2020 0:00",1.31641,1.3278,1.31564,1.32734,109.3,0.0082
"Nov 09, 2020 0:00",1.31565,1.32075,1.3118,1.31631,6.6,0.0005
"Nov 06, 2020 0:00",1.31447,1.31772,1.30928,1.3149,4.3,0.0003
"Nov 05, 2020 0:00",1.29874,1.3155,1.29298,1.3151,163.6,0.0124
"Nov 04, 2020 0:00",1.30542,1.31401,1.29139,1.29851,-69.1,-0.53%
"Nov 03, 2020 0:00",1.29125,1.30787,1.29073,1.30634,150.9,0.0116
"Nov 02, 2020 0:00",1.2925,1.29429,1.28537,1.29188,-6.2,-0.05%
"Oct 30, 2020 0:00",1.29274,1.29879,1.28986,1.29501,22.7,0.0018
"Oct 29, 2020 0:00",1.29827,1.30254,1.28807,1.29282,-54.5,-0.42%
"Oct 28, 2020 0:00",1.30407,1.30638,1.29163,1.29827,-58,-0.45%
