Date,Open,High,Low,Close,Change (Pips),Change (%)
"Nov 30, 2020 0:00",0.73828,0.74074,0.73693,0.7381,-1.8,-0.02%
"Nov 27, 2020 0:00",0.73555,0.73988,0.73521,0.73786,23.1,0.0031
"Nov 26, 2020 0:00",0.73629,0.73742,0.73533,0.73578,-5.1,-0.07%
"Nov 25, 2020 0:00",0.73602,0.73733,0.73249,0.73657,5.5,0.0007
"Nov 24, 2020 0:00",0.7286,0.73677,0.72833,0.73609,74.9,0.0102
"Nov 23, 2020 0:00",0.72997,0.73372,0.72651,0.72862,-13.5,-0.19%
"Nov 20, 2020 0:00",0.72819,0.73238,0.72656,0.73044,22.5,0.0031
"Nov 19, 2020 0:00",0.73027,0.73054,0.72543,0.72838,-18.9,-0.26%
"Nov 18, 2020 0:00",0.72982,0.73307,0.72717,0.73071,8.9,0.0012
"Nov 17, 2020 0:00",0.73163,0.73396,0.7289,0.73001,-16.2,-0.22%
"Nov 16, 2020 0:00",0.72647,0.73268,0.72638,0.73212,56.5,0.0077
"Nov 13, 2020 0:00",0.72305,0.72733,0.72215,0.72693,38.8,0.0053
"Nov 12, 2020 0:00",0.72798,0.72936,0.72233,0.7233,-46.8,-0.65%
"Nov 11, 2020 0:00",0.72841,0.73179,0.72597,0.72792,-4.9,-0.07%
"Nov 10, 2020 0:00",0.72806,0.72944,0.72527,0.72863,5.7,0.0008
"Nov 09, 2020 0:00",0.72717,0.73401,0.72668,0.72793,7.6,0.001
"Nov 06, 2020 0:00",0.7282,0.72874,0.72389,0.72595,-22.5,-0.31%
"Nov 05, 2020 0:00",0.71754,0.72894,0.7145,0.72834,108,0.0148
"Nov 04, 2020 0:00",0.7162,0.72216,0.7048,0.71771,15.1,0.0021
"Nov 03, 2020 0:00",0.70549,0.71748,0.7028,0.71644,109.5,0.0153
"Nov 02, 2020 0:00",0.70214,0.70579,0.69913,0.70574,36,0.0051
"Oct 30, 2020 0:00",0.7028,0.70719,0.70108,0.70276,-0.4,-0.01%
"Oct 29, 2020 0:00",0.70434,0.70761,0.70024,0.70274,-16,-0.23%
"Oct 28, 2020 0:00",0.71285,0.71573,0.70382,0.7044,-84.5,-1.20%
"Oct 27, 2020 0:00",0.71209,0.71472,0.71129,0.71291,8.2,0.0012
"Oct 26, 2020 0:00",0.71289,0.71464,0.71026,0.71232,-5.7,-0.08%
"Oct 23, 2020 0:00",0.71173,0.71582,0.71012,0.71371,19.8,0.0028
"Oct 22, 2020 0:00",0.71144,0.71253,0.70851,0.71171,2.7,0.0004
"Oct 21, 2020 0:00",0.70475,0.71372,0.70445,0.71179,70.4,0.0099
"Oct 20, 2020 0:00",0.70726,0.70726,0.70207,0.70477,-24.9,-0.35%
"Oct 19, 2020 0:00",0.70785,0.71145,0.70582,0.70685,-10,-0.14%
"Oct 16, 2020 0:00",0.70911,0.70979,0.70704,0.70765,-14.6,-0.21%
"Oct 15, 2020 0:00",0.71613,0.71684,0.7056,0.70935,-67.8,-0.96%
"Oct 14, 2020 0:00",0.7159,0.7191,0.71525,0.71627,3.7,0.0005
"Oct 13, 2020 0:00",0.7208,0.7216,0.71504,0.71607,-47.3,-0.66%
"Oct 12, 2020 0:00",0.72172,0.72347,0.72031,0.72088,-8.4,-0.12%
"Oct 09, 2020 0:00",0.71629,0.72432,0.71594,0.72409,78,0.0108
"Oct 08, 2020 0:00",0.71366,0.71702,0.71232,0.71675,30.9,0.0043
"Oct 07, 2020 0:00",0.71011,0.71517,0.70952,0.71402,39.1,0.0055
"Oct 06, 2020 0:00",0.71747,0.72087,0.71002,0.71006,-74.1,-1.04%
"Oct 05, 2020 0:00",0.71645,0.71933,0.71538,0.71813,16.8,0.0023
"Oct 02, 2020 0:00",0.71824,0.71879,0.71305,0.71632,-19.2,-0.27%
